appid,metacritic_score,metacritic_url
791320,0.0,unknown
1598810,0.0,unknown
1012390,0.0,unknown
1029650,0.0,unknown
738030,0.0,unknown
764630,0.0,unknown
992990,0.0,unknown
962070,0.0,unknown
1365620,0.0,unknown
690610,0.0,unknown
905510,0.0,unknown
1710810,0.0,unknown
1386980,0.0,unknown
539750,0.0,unknown
1601680,0.0,unknown
1753690,0.0,unknown
863230,0.0,unknown
1059370,0.0,unknown
1615560,0.0,unknown
1527140,0.0,unknown
661700,0.0,unknown
486940,0.0,unknown
778860,0.0,unknown
876850,0.0,unknown
482390,0.0,unknown
676320,0.0,unknown
1684220,0.0,unknown
946360,0.0,unknown
513330,0.0,unknown
1179010,0.0,unknown
1367380,0.0,unknown
1034120,0.0,unknown
1713530,0.0,unknown
736430,0.0,unknown
699510,0.0,unknown
1100180,0.0,unknown
959000,0.0,unknown
731180,0.0,unknown
1481960,0.0,unknown
376410,0.0,unknown
723110,0.0,unknown
226620,82.0,https://www.metacritic.com/game/pc/desktop-dungeons?ftag=MCD-06-10aaa1f
1108750,0.0,unknown
788040,0.0,unknown
1768790,0.0,unknown
1471220,0.0,unknown
699080,0.0,unknown
1068120,0.0,unknown
1153040,0.0,unknown
1658770,0.0,unknown
1061420,0.0,unknown
363180,0.0,unknown
843620,0.0,unknown
1384350,0.0,unknown
618570,0.0,unknown
110600,0.0,unknown
1172470,88.0,https://www.metacritic.com/game/pc/apex-legends?ftag=MCD-06-10aaa1f
1471460,0.0,unknown
1284700,0.0,unknown
841600,0.0,unknown
1671180,0.0,unknown
2061060,0.0,unknown
1299120,0.0,unknown
1303170,0.0,unknown
773530,0.0,unknown
1430100,0.0,unknown
1514160,0.0,unknown
404730,87.0,https://www.metacritic.com/game/pc/wasteland-2-directors-cut?ftag=MCD-06-10aaa1f
945490,0.0,unknown
1674730,0.0,unknown
301260,0.0,unknown
1866870,0.0,unknown
510710,0.0,unknown
924310,0.0,unknown
1273430,0.0,unknown
556680,0.0,unknown
910850,0.0,unknown
1343450,0.0,unknown
1271620,0.0,unknown
1492290,0.0,unknown
1433770,0.0,unknown
1804390,0.0,unknown
1091350,0.0,unknown
1836500,0.0,unknown
813360,0.0,unknown
846220,0.0,unknown
223750,0.0,unknown
1845880,0.0,unknown
291170,0.0,unknown
1162730,0.0,unknown
236490,47.0,https://www.metacritic.com/game/pc/hexodius?ftag=MCD-06-10aaa1f
1418650,0.0,unknown
1011320,0.0,unknown
1895130,0.0,unknown
1002510,0.0,unknown
346940,81.0,https://www.metacritic.com/game/pc/shadowrun-hong-kong?ftag=MCD-06-10aaa1f
1983410,0.0,unknown
40420,75.0,https://www.metacritic.com/game/pc/tidalis?ftag=MCD-06-10aaa1f
1526480,0.0,unknown
1914950,0.0,unknown
288790,0.0,unknown
434970,0.0,unknown
1073890,0.0,unknown
1811750,0.0,unknown
283620,0.0,unknown
1152410,0.0,unknown
350970,66.0,https://www.metacritic.com/game/pc/planet-of-the-eyes?ftag=MCD-06-10aaa1f
1582850,0.0,unknown
308560,0.0,unknown
1807610,0.0,unknown
1504570,0.0,unknown
418650,0.0,unknown
1064920,0.0,unknown
1088040,0.0,unknown
1418160,0.0,unknown
1128420,0.0,unknown
313740,0.0,unknown
960820,0.0,unknown
1515820,0.0,unknown
237760,0.0,unknown
1022480,0.0,unknown
532080,0.0,unknown
415780,0.0,unknown
1166990,0.0,unknown
407420,0.0,unknown
391280,0.0,unknown
1371730,0.0,unknown
471770,0.0,unknown
461830,0.0,unknown
1376590,0.0,unknown
990840,0.0,unknown
1788730,0.0,unknown
1412580,0.0,unknown
889280,0.0,unknown
1277310,0.0,unknown
1600600,0.0,unknown
1302460,0.0,unknown
869840,0.0,unknown
438490,0.0,unknown
1187250,0.0,unknown
1541450,0.0,unknown
656070,0.0,unknown
1495080,0.0,unknown
406930,0.0,unknown
855010,0.0,unknown
312540,76.0,https://www.metacritic.com/game/pc/ys-vi-the-ark-of-napishtim?ftag=MCD-06-10aaa1f
1028340,0.0,unknown
368570,0.0,unknown
270880,76.0,https://www.metacritic.com/game/pc/american-truck-simulator?ftag=MCD-06-10aaa1f
1671200,0.0,unknown
959410,0.0,unknown
1273250,0.0,unknown
913440,0.0,unknown
959050,0.0,unknown
991230,0.0,unknown
1580640,0.0,unknown
1808860,0.0,unknown
1338130,0.0,unknown
589220,0.0,unknown
993750,0.0,unknown
903790,0.0,unknown
1508980,0.0,unknown
1208040,0.0,unknown
408920,50.0,https://www.metacritic.com/game/pc/krai-mira?ftag=MCD-06-10aaa1f
1217510,0.0,unknown
1417190,0.0,unknown
1386330,0.0,unknown
1776860,0.0,unknown
1227000,0.0,unknown
1285820,0.0,unknown
394960,0.0,unknown
747110,0.0,unknown
733990,0.0,unknown
1998840,0.0,unknown
704760,0.0,unknown
528460,0.0,unknown
1457490,0.0,unknown
12670,0.0,unknown
765860,0.0,unknown
1514580,0.0,unknown
1431040,0.0,unknown
1579590,0.0,unknown
1553850,0.0,unknown
1875560,0.0,unknown
1143810,0.0,unknown
1321220,0.0,unknown
1500750,0.0,unknown
1845890,0.0,unknown
1819900,0.0,unknown
1433070,0.0,unknown
45750,63.0,https://www.metacritic.com/game/pc/lost-planet-2?ftag=MCD-06-10aaa1f
850710,0.0,unknown
821860,0.0,unknown
1836970,0.0,unknown
577850,0.0,unknown
1715970,0.0,unknown
1008000,0.0,unknown
1006920,0.0,unknown
1011310,0.0,unknown
536950,0.0,unknown
1669350,0.0,unknown
1436810,0.0,unknown
2050890,0.0,unknown
1280780,0.0,unknown
994200,0.0,unknown
1148680,0.0,unknown
1347390,0.0,unknown
460630,0.0,unknown
562050,0.0,unknown
613880,0.0,unknown
2003160,0.0,unknown
371710,0.0,unknown
1959400,0.0,unknown
1420080,0.0,unknown
38160,0.0,unknown
1283430,0.0,unknown
703000,0.0,unknown
1071220,0.0,unknown
536430,0.0,unknown
742990,0.0,unknown
1000040,0.0,unknown
380990,0.0,unknown
565080,0.0,unknown
377010,0.0,unknown
1630760,0.0,unknown
612440,0.0,unknown
327980,0.0,unknown
1692190,0.0,unknown
266330,0.0,unknown
1436990,0.0,unknown
654710,0.0,unknown
873250,0.0,unknown
1863380,0.0,unknown
868570,0.0,unknown
1571600,0.0,unknown
1605190,0.0,unknown
635900,0.0,unknown
1789660,0.0,unknown
1236700,0.0,unknown
590600,0.0,unknown
870010,0.0,unknown
1192610,0.0,unknown
457690,0.0,unknown
371120,0.0,unknown
1018950,0.0,unknown
1786280,0.0,unknown
910460,0.0,unknown
760520,0.0,unknown
1251270,0.0,unknown
226780,0.0,unknown
251990,67.0,https://www.metacritic.com/game/pc/long-live-the-queen?ftag=MCD-06-10aaa1f
1137770,0.0,unknown
543240,0.0,unknown
1822490,0.0,unknown
764180,0.0,unknown
1534520,0.0,unknown
854190,0.0,unknown
1375850,0.0,unknown
984610,0.0,unknown
1342790,0.0,unknown
1950050,0.0,unknown
1285940,0.0,unknown
1732210,0.0,unknown
1778110,0.0,unknown
1123730,0.0,unknown
837780,0.0,unknown
11370,68.0,https://www.metacritic.com/game/pc/nikopol-secrets-of-the-immortals?ftag=MCD-06-10aaa1f
1524690,0.0,unknown
1271280,0.0,unknown
898260,0.0,unknown
