appid,developers,publishers
1762690,Ruben Dario Acosta,Ruben Dario Acosta
1776930,Wired Dreams Studio,Wired Dreams Studio
729930,Deep Shadows Games,Big Fish Games
687920,Tentacle Games,Sekai Project
361620,Artur Mandas,KPL
1953570,minos,minos
1247190,Brave Giant LTD,Artifex Mundi
1400110,Team UWU,DigiPen Institute of Technology
931280,Ironhide Game Studio,Ironhide Game Studio
1843290,痴心网络工作室,痴心网络工作室
1707880,Avis Games,Avis Games
1271850,stillalive studios,Aerosoft GmbH
339640,Cliffhanger Productions,Cliffhanger Productions
496530,Sliverbroom Studios,OtakuMaker SARL
1977840,KKGameJam,"KuriTaro,Komihorium"
460140,"Orrery Games,Blip Haus Design",Orrery Games
1313330,Hede Games,Hede Games
2004890,Uintani,Uintani
2066240,Disrate Studios,Disrate Studios
1293930,Tourism Infinity,Clique Games
817600,Jan Kopfmann,Jan Kopfmann
938600,FlagmanJeremy,FlagmanJeremy
787160,"GDL,Harbor","GDL,Harbor"
898160,"Charlie Behan,Raddy Peid",Charlie Behan
1467240,Хомяк Entertainment,Хомяк Entertainment
760030,DigiFeather,DigiFeather
1133590,September Games,September Games
1005940,Frame VR,Frame VR
877810,"Melos Han-Tani,Marina Kittaka",Analgesic Productions
1237550,SteveClay,SteveClay
637330,AeroLab Studios,Volens Nolens Games
281390,Strategy First,Strategy First
1400270,Kurenaibook,Kurenaibook
704450,Beamdog,Beamdog
1247070,Woop Woop Games,Woop Woop Games
538100,Owlet,Owlet
1116350,Peakware Studio,Peakware Studio
299740,Entrada Interactive LLC,Entrada Interactive LLC
1255230,13TH Division,13TH Division
1223880,Drunk Galah,Drunk Galah
1136040,Yaeko,Yaeko
973240,BadWolf Games,BadWolf Games
1697190,SJR Team,SJR Team
37420,Size Five Games,Size Five Games
1167090,迈克儿,迈克儿
727550,TushaWorks,TushaWorks
1942550,Maverick Software LLC,Maverick Software LLC
1796630,Colossus Game Studio,Colossus Game Studio
523610,Polygon Art,Polygon Art
1286670,Burning Goat Studio,Burning Goat Studio
573780,"Diabolical Mind,Daniel Fernandez Chavez",Diabolical Mind
1301100,Louis Byers,Louis Byers
712660,"Facundo Balboa,Iván Piccione,Martín Díaz",Facundo Balboa
1565290,Lickbeans Interactive,Lickbeans Interactive
949860,SneakyBox,SneakyBox
612370,Tree Men Games,Tree Men Games
1446230,Scylez Studios,Scylez Studios
1780010,DarchengelVN,DarchengelVN
738550,Black Sheep Studio,Nacon
1761630,PurpleSloth,PurpleSloth
631220,Kingdom Games,Kingdom Games
1476350,Onfire Games,Onfire Games
335220,Mårten Jonsson,JMJ Interactive
746850,ION LANDS,"ION LANDS,Maple Whispering Limited"
1095820,From the end Games,From the end Games
1961860,"CyberStep, Inc.,Rideon Works Co. Ltd,","CyberStep, Inc."
203770,Paradox Development Studio,Paradox Interactive
1276070,PleasingFungus Games,PleasingFungus Games
1201650,PozziSoft,PozziSoft
1644030,EduardoGameDev,EduardoGameDev
530300,WolfTech Games,WolfTech Games
1389410,"KADOKAWA,エイジ・エジェネスタ",Komodo
1699510,CatCat Gaming,CatCat Gaming
652510,Team Neetbytes,Team Neetbytes
1999430,"Isaiah Jordan,Turntable Games",Turntable Games
415840,FIVE-BN GAMES,8Floor
1208590,Aetheric Games,Pixeljam
447150,"Gabe Cuzzillo,Bennett Foddy,Matt Boch",Devolver Digital
1190370,Small Games,Bitlock Studio
1938370,Lieon Games,Sinnera
934540,冷笑黑妖,冷笑黑妖
486230,Team Taju,Wronghut
1165420,Somer Games,8floor
512180,"Red Entertainment,LANTERN ROOMS",D3PUBLISHER
1680280,Invzbl,Invzbl
1437120,Oleg Sereda,Oleg Sereda
1422200,Nostalgiatree and faxdoc games,Nostalgiatree and faxdoc games
1390600,Preapp Partners,Preapp Partners
536690,ARQUOIA,ARQUOIA
1985590,unknown,unknown
1291500,Casey Donnellan Games LLC,tinyBuild
1638000,"Nerd Games,Artax Games",Eastasiasoft Limited
1722570,worblir,worblir
572240,"Ino-Co Plus,Variags",AkPublish
1355390,Out Of Time Interactive,Out Of Time Interactive
724170,TChapman500,TChapman500
790060,Veyeral Games,The Hidden Levels
391140,Quad-Games,Quad-Games
926860,Kodo Linija,Kodo Linija
1529470,Emergence Studio,CNM
866010,Mini Fun Games,Mini Fun Games
617160,"YGGDRAZIL GROUP CO.,LTD","YGGDRAZIL GROUP CO.,LTD"
632250,Ink Kit,Ink Kit
1613530,SAA Studio,SAA Studio
385530,Aratog LLC,Trinity Project
1448130,ALPHY,ALPHY
927310,清之鸣,清之鸣
1264310,obrubshik,obrubshik
1583710,Exploding Planet Studios,Exploding Planet Studios
412640,JonBrouchoud,"Arch Virtual, LLC"
455200,Large Visible Machine,"Large Visible Machine,Your Move Games"
534920,CrazyBunch,Daedalic Entertainment
2009560,"Tero Lunkka,Valkeala Software,NTStudios",Valkeala Software
974970,BicBoi Bangers,BicBoi Bangers
1225680,Dtmss,Dtmss
594760,SkyKan,SkyKan
1029970,Flippancy Studio,Flippancy Studio
1993030,RIVERSIDE SPORTS,RIVERSIDE SPORTS
1214540,"Triverske,Mirror Queen",Triverske
1380360,AlpaSun Games,AlpaSun Games
1001570,Reframe Games Inc.,Reframe Games Inc.
34019,Obsidian Entertainment,SEGA
629970,"Beast, Inc.","Beast, Inc."
921500,Kevin Yang Games,SA Industry
779950,Fireart Games,Drageus Games S.A.
801760,NewGen,NewGen
418620,Pelikan13,Pelikan13
1356190,Warehouse Studios,Warehouse Studios
1459500,Danial Rashidi,Rashidi Interactive
1190180,HEILAH,HEILAH
270430,"Cypress Inheritance, LLC","Cypress Inheritance, LLC"
493820,Art Games,Art Games
1755740,MaskCatStudio,"MaskCatStudio,DreamStep"
338640,Icebird Studios,Icebird Studios
1271500,"Studio Noir, LLC","Studio Noir, LLC"
595490,Looker,Looker
1625450,Dani,Dani
70200,I Sioux Game Productions B.V.,Youdagames
954070,BYU Animation -  Class of 2018,Brigham Young University
692530,Somnium Space Ltd.,Somnium Space Ltd.
1335360,"buho Interactive Entertainment Co., Ltd.","buho Interactive Entertainment Co., Ltd.,Light of Creators"
1936300,LosingIsFun Studio,LosingIsFun Studio
1329540,Hyperstrange,Hyperstrange
1713860,gleogames,gleogames
480900,MonkeyToons,MonkeyToons
1776530,unknown,unknown
1037690,KomBits Game Studio,KomBits Game Studio
1218750,OrumGames,OrumSoftware
1709830,Tragedy Studios,Tragedy Studios
2008040,Reno Games,Reno Games
442070,"Jackbox Games, Inc.","Jackbox Games, Inc."
1108030,Team Spikkeee,Spikkeee
1129650,"Hirn im Glas,iirmchen,irmo",MediaCube Games
1377060,Giancarlo Gioielli,Nexima Games
392950,FIVE-BN GAMES,FIVE-BN GAMES
1158230,HUNTERS,HUNTERS
1475970,Planetfall Studios,Zerouno Games
1520200,Porco Aranha,Porco Aranha
394390,RolandStudios,RolandStudios
1148160,Conor Davis,Conor Davis
1206790,NeoBird,upjers
1627420,Attack Studio,Attack Studio
1769170,Shattered Pixel,Shattered Pixel
448850,"Revival Productions, LLC","Revival Productions, LLC"
282780,Never Don't Play,Never Don't Play
803980,"Cobble Games,Disaster Studio","Movie Games S.A.,PlayWay S.A."
1265140,Sonic-Alpha,NS
525300,IR Studio,IR Studio
1899830,"Ethan Hoffman,Gabriel Sloan,Jordan Lim,Spencer Buff,Carson Sena",Neumont College of Computer Science
1880080,Grant Adkins,Grant Adkins
788800,PlayTech Studio,PlayTech Studio
704030,Masterbrain Bytes,"Masterbrain Bytes,Toplitz Productions"
530650,M.BonKov,M.BonKov
342650,GameArt Studio GmbH,GameArt Studio GmbH
1210910,Pyramid Attack Inc.,Hollywood Suite Inc.
1342340,Novalink,Novalink
1922200,Duodli,kazakovstudios
1089710,Fruit Postal Service,Green Door Labs
16730,Spark Unlimited,SouthPeak Games
335560,Garden Knight Games,Garden Knight Games
1678740,AnaWiki Games,HH-Games
524390,UL,UL
735280,Sixteen Tons Entertainment,Sixteen Tons Entertainment
1023860,Springloaded,Springloaded
49810,Muse Games,Muse Games
834210,Undead Turtle,Undead Turtle
1101660,GameOn Production,8Floor
443700,dsquare,dsquare
878500,Anamik Majumdar,Anamik Majumdar
492270,Cats Who Play,Cats Who Play
556160,ColloseusX,Phat Phrog Studios
781680,ocasocreations,ocasocreations
949210,FelGC.GamesDevelopment,FelGC.GamesDevelopment
289200,DVS,Fulqrum Publishing
1369730,Eden Industries,KEMCO
1055850,Goloso Games,Hitcents
1395750,Doctor Moonbad,Moonbad Games
1262880,Digital Dream Labs,Digital Dream Labs
1810210,"FastGame,VICTORIA Games",FastGame
796780,Catze,Catze
1681480,Erupting Avocado,Erupting Avocado
1711960,玫瑰工作室,玫瑰工作室
6870,Eidos Interactive,Square Enix
1537430,Rouli,Rouli
751530,MightyCodeDragon,MightyCodeDragon
1031700,Reija Meriläinen,Reija Meriläinen
